AAcomp_A,AAcomp_R,AAcomp_N,AAcomp_D,AAcomp_C,AAcomp_Q,AAcomp_E,AAcomp_G,AAcomp_H,AAcomp_I,AAcomp_L,AAcomp_K,AAcomp_M,AAcomp_F,AAcomp_P,AAcomp_S,AAcomp_T,AAcomp_W,AAcomp_Y,AAcomp_V,AAindex_ARGP820101_avg,AAindex_BULH740101_avg,AAindex_CHAM820102_avg,AAindex_CIDH920105_avg,AAindex_EISD840101_avg,AAindex_EISD860101_avg,AAindex_EISD860102_avg,AAindex_EISD860103_avg,AAindex_FAUJ830101_avg,AAindex_GOLD730101_avg,AAindex_GUYH850101_avg,AAindex_HOPT810101_avg,AAindex_JANJ790102_avg,AAindex_JOND750101_avg,AAindex_KYTJ820101_avg,AAindex_LAWE840101_avg,AAindex_LEVM760101_avg,AAindex_MANP780101_avg,AAindex_MIYS850101_avg,AAindex_NOZY710101_avg,AAindex_OOBM770101_avg,AAindex_OOBM770102_avg,AAindex_OOBM770103_avg,AAindex_OOBM770104_avg,AAindex_OOBM770105_avg,AAindex_OOBM850103_avg,AAindex_OOBM850104_avg,AAindex_PONP800101_avg,AAindex_PONP800102_avg,AAindex_PONP800103_avg,AAindex_PRAM900101_avg,AAindex_RADA880101_avg,AAindex_RADA880102_avg,AAindex_RADA880103_avg,AAindex_RADA880104_avg,AAindex_RADA880105_avg,AAindex_ROBB790101_avg,AAindex_ROSM880101_avg,AAindex_ROSM880102_avg,AAindex_SIMZ760101_avg,AAindex_SWER830101_avg,AAindex_VHEG790101_avg,AAindex_WERD780102_avg,AAindex_WERD780103_avg,AAindex_WERD780104_avg,AAindex_YUTK870101_avg,AAindex_YUTK870102_avg,AAindex_YUTK870103_avg,AAindex_YUTK870104_avg,AAindex_ZIMJ680101_avg,AAindex_PONP930101_avg,AAindex_WILM950101_avg,AAindex_WILM950102_avg,AAindex_WILM950103_avg,AAindex_WILM950104_avg,AAindex_KUHL950101_avg,AAindex_JURD980101_avg,AAindex_WOLR790101_avg,AAindex_KIDA850101_avg,AAindex_COWR900101_avg,AAindex_BLAS910101_avg,AAindex_CASG920101_avg,AAindex_ENGD860101_avg,AAindex_FASG890101_avg,class
0.11707,0.13659,0.01951,0.0878,0.00488,0.02439,0.06829,0.06829,0.01463,0.02927,0.12683,0.01463,0.01463,0.02927,0.0439,0.02927,0.05366,0.00488,0.02927,0.08293,0.86537,-0.83639,0.39263,-0.00654,-0.21976,0.28395,2.34,-0.11776,0.2882,1.10956,0.1281,0.26585,-0.16927,1.22927,-0.32488,0.13898,0.12634,12.84537,2.53898,0.66878,-1.74749,-1.20757,-0.53977,-13.5733,-9.26583,-0.13112,-0.65161,12.43434,7.74824,2.65029,9.48976,-2.40585,0.37668,-2.44293,-2.02312,-4.25795,0.41512,2.78902,-0.00268,1.18893,-0.09341,1.94234,-0.22541,0.05327,-0.24468,8.72439,6.92049,15.58307,15.94132,1.26537,0.5562,0.77478,1.50098,0.15556,0.58898,0.9559,-0.50317,-0.0101,0.17176,0.15127,0.48392,-0.2,2.26732,-0.52907,C
0.11304,0.04348,0.02609,0.05217,0.01739,0.01739,0.08696,0.07826,0.0087,0.05217,0.06957,0.06957,0.03478,0.02609,0.04348,0.06957,0.05217,0.01739,0.05217,0.06957,0.91374,-0.85087,0.56964,0.01435,-0.12078,0.49661,1.78878,-0.11278,0.3527,1.15826,0.04217,0.07391,-0.13739,1.29843,-0.23304,0.15461,-0.05652,12.842,2.51696,0.69478,-1.7547,-1.22303,-0.53147,-13.3534,-9.1947,-0.05096,-1.67009,12.42365,7.74304,2.65052,5.95652,-1.38948,0.502,-2.41052,-1.45878,-3.70913,0.41391,2.07817,-0.17957,1.22035,-0.06617,-1.28357,-0.20739,0.10061,-0.22339,9.3487,7.32522,17.23409,17.5947,1.2727,0.49843,0.68365,0.9673,0.64722,0.80809,0.90617,-0.33843,0.15913,0.0907,0.16148,0.52201,-0.16783,1.42435,-0.44009,C
0.02198,0.06044,0.04396,0.03846,0,0.02198,0.0989,0.06044,0.00549,0.06044,0.08791,0.12088,0.02747,0.08242,0.04945,0.03297,0.03297,0.01648,0.06593,0.07143,1.09231,-1.04093,0.66625,0.13643,-0.18253,0.53956,2.33258,-0.1261,0.37264,1.43203,0.01027,0.12857,-0.27253,1.55209,-0.49725,0.2967,-0.00934,12.89896,2.60198,0.85055,-1.71528,-1.17791,-0.5372,-14.46753,-9.82731,-0.10011,-2.12736,12.4339,7.71313,2.63659,8.95659,-1.76319,0.59632,-2.98467,-2.02412,-4.92302,0.71264,2.29423,-0.08973,1.48297,0.09989,-0.52082,-0.2406,0.14692,-0.24989,9.48516,7.3478,16.91412,17.29066,1.52368,0.50429,0.98615,1.34857,0.36698,1.25258,0.91648,-0.56462,-0.00434,0.1361,0.14418,0.53599,-0.21538,2.14176,-0.49654,C
0.05825,0.04854,0.06796,0.09709,0,0.07767,0.05825,0.05825,0.01942,0.1068,0.1165,0.02913,0.01942,0.00971,0.02913,0.02913,0.04854,0.02913,0.01942,0.07767,0.92495,-0.9165,0.58261,0.07165,-0.11903,0.49126,1.77621,-0.07854,0.41573,1.23447,-0.00806,-0.03301,-0.10291,1.31417,-0.20777,0.1199,-0.15146,12.98806,2.62146,0.7699,-1.74858,-1.20658,-0.54185,-13.8664,-9.47983,0.24097,-1.80369,12.53107,7.82078,2.65864,7.12913,-1.61272,0.61437,-2.68524,-1.38049,-3.84922,0.66796,2.36194,-0.22262,1.25184,-0.0665,-1.41136,-0.1968,0.06854,-0.2633,9.90097,7.74757,17.15971,17.57699,1.25854,0.64408,0.99078,1.21495,0.79845,1.31417,0.91495,-0.29117,0.08845,0.10282,0.22282,0.51163,-0.12913,1.70291,-0.82427,C
0.04049,0.06883,0.02024,0.05668,0.00405,0.03239,0.06478,0.11336,0.02429,0.08907,0.07692,0.06883,0.03239,0.03644,0.04049,0.04453,0.04858,0.01215,0.02429,0.10121,0.95227,-0.91121,0.40603,0.08676,-0.1215,0.49741,2.00502,-0.03773,0.3902,1.21324,-0.01405,0.06437,-0.1247,1.35259,-0.12267,0.21668,-0.05304,13.00623,2.61267,0.73279,-1.75851,-1.2087,-0.5497,-13.58643,-9.25002,0.07,-2.12457,12.57931,7.87688,2.67401,6.43684,-1.42737,0.54555,-2.47721,-1.48385,-3.82445,0.69474,2.06004,-0.24462,1.27818,-0.00611,-1.27709,-0.2464,0.08405,-0.19316,9.53117,7.45425,16.82721,17.21445,1.3368,0.62113,0.82935,1.07251,0.55166,1.1919,0.88401,-0.21947,0.14336,0.10976,0.17385,0.5243,-0.12632,1.53887,-0.70559,C
0.10101,0.0404,0.03283,0.06313,0.0101,0.03283,0.07828,0.10354,0.00253,0.06818,0.08333,0.05303,0.01515,0.04545,0.03535,0.05556,0.05303,0.0101,0.05556,0.06061,0.90838,-0.88715,0.61138,0.01707,-0.08917,0.50129,1.68604,-0.09904,0.37967,1.18646,0.01003,-0.00783,-0.1053,1.29081,-0.14116,0.1626,-0.12803,12.87684,2.55111,0.73207,-1.7576,-1.22153,-0.5359,-13.36356,-9.17261,0.04225,-1.52624,12.43508,7.74904,2.65063,5.47172,-1.24735,0.54609,-2.31452,-1.25586,-3.40414,0.50833,1.97889,-0.23023,1.23152,-0.02745,-2.07616,-0.1974,0.13631,-0.20184,9.44066,7.43005,17.28785,17.67364,1.29856,0.54381,0.9047,1.24803,0.44816,0.85528,0.89586,-0.25033,0.20351,0.05619,0.22371,0.53372,-0.1447,1.30859,-0.56899,C
0.08245,0.05708,0.04017,0.04651,0.01268,0.05074,0.06977,0.08245,0.03594,0.07188,0.10148,0.04228,0.0296,0.03805,0.05285,0.04017,0.04863,0.00423,0.02748,0.06554,0.91457,-0.87638,0.43518,0.05624,-0.11273,0.52533,1.78118,-0.06121,0.4059,1.19507,-0.02763,-0.03573,-0.09915,1.29924,-0.15793,0.18596,-0.16786,12.93085,2.59786,0.70021,-1.76046,-1.22016,-0.54013,-13.55763,-9.31405,0.04554,-1.54932,12.51702,7.82715,2.66518,5.70592,-1.39423,0.53732,-2.45144,-1.5422,-3.85795,0.61078,2.01723,-0.25262,1.24271,-0.03729,-1.53108,-0.21702,0.10679,-0.20634,9.55962,7.56406,17.04038,17.42937,1.32609,0.57873,0.84471,1.2348,0.77408,0.92905,0.89178,-0.27336,0.14765,0.06419,0.17786,0.52437,-0.12241,1.36364,-0.74391,C
0.07521,0.05014,0.06964,0.05014,0.03064,0.05014,0.06685,0.06685,0.03343,0.05292,0.11421,0.03343,0.02228,0.03343,0.01671,0.07521,0.05571,0.00279,0.03064,0.06964,0.81301,-0.83579,0.60275,0.00192,-0.13053,0.4537,1.70318,-0.10577,0.37772,1.08279,-0.05437,-0.05682,-0.08384,1.15504,-0.17409,0.07819,-0.13872,12.90184,2.57613,0.67437,-1.76126,-1.22509,-0.53597,-13.49063,-9.30933,0.01596,-1.48925,12.51579,7.84482,2.67184,5.6727,-1.6249,0.51574,-2.54733,-1.74265,-4.10095,0.50279,2.37212,-0.161,1.10513,-0.0568,-1.51964,-0.16028,0.11758,-0.20981,9.54373,7.66128,17.12142,17.50552,1.20379,0.58546,0.80365,1.17404,0.92465,1.04198,0.9105,-0.2551,0.1029,0.10148,0.11546,0.50722,-0.10306,1.35515,-0.7646,C
0.06,0.05,0.01667,0.06667,0.02667,0.04667,0.07667,0.05333,0.02,0.05333,0.17667,0.06667,0.01667,0.03,0.03,0.06333,0.04333,0.00333,0.02,0.08,0.94027,-0.98573,0.63555,0.09093,-0.10947,0.52743,1.87303,-0.0311,0.45027,1.2312,-0.07593,0.03967,-0.10433,1.3356,0.086,0.1981,-0.074,13.05027,2.65,0.74533,-1.76252,-1.22301,-0.53926,-13.64926,-9.41635,-0.02943,-2.1638,12.61443,7.92823,2.68597,6.111,-1.22733,0.57957,-2.5566,-1.2597,-3.60043,0.598,2.0168,-0.38367,1.29797,0.02217,-1.70447,-0.25373,0.0633,-0.22287,9.95133,7.99867,17.1854,17.56123,1.39043,0.63903,0.96447,1.48913,0.7521,1.1015,0.88833,0.0066,0.16833,0.06073,0.247,0.53407,-0.148,1.46033,-0.90877,F
0.11854,0.09422,0.02128,0.04255,0.00912,0.03951,0.06079,0.11246,0.02736,0.04559,0.12766,0.01216,0.03343,0.02432,0.05167,0.03951,0.04255,0.00912,0.03951,0.04863,0.87918,-0.85915,0.37775,0.04155,-0.11802,0.48663,1.88982,-0.05821,0.40222,1.14985,0.0304,-0.05684,-0.07599,1.24875,-0.11976,0.20675,-0.18085,12.92413,2.60073,0.70091,-1.77468,-1.22737,-0.54709,-13.42255,-9.1572,-0.02967,-1.13489,12.50857,7.83231,2.6704,5.43647,-1.44216,0.48362,-2.29383,-1.56638,-3.74234,0.56565,1.96769,-0.21988,1.20502,-0.03854,-0.97185,-0.23079,0.09055,-0.19574,9.10881,7.25228,16.39337,16.75128,1.27015,0.6048,0.81906,1.4035,0.47641,0.52258,0.89839,-0.28158,0.16535,0.02529,0.22015,0.5276,-0.09666,1.29878,-0.74134,C
0.05,0.05625,0.03125,0.0625,0.00625,0.03125,0.16875,0.0375,0.01875,0.04375,0.10625,0.125,0.05,0.04375,0.025,0.04375,0.0375,0.00625,0.025,0.03125,0.90338,-0.83525,0.67639,-0.10044,-0.28869,0.28831,2.48419,-0.24475,0.16662,1.10344,0.1635,0.6375,-0.35,1.28412,-0.92812,0.06775,0.48688,12.65038,2.43981,0.61938,-1.69157,-1.1918,-0.49943,-13.8905,-9.72857,-0.12931,-1.72388,12.20669,7.47512,2.58081,12.75375,-2.68338,0.38262,-2.95144,-2.529,-5.32531,0.335,3.26388,0.24156,1.21769,-0.17212,2.33512,-0.25006,0.08869,-0.29462,9.40562,7.26688,17.01175,17.33038,1.29269,0.25588,0.58062,0.73719,0.52906,1.07262,0.99594,-0.985,-0.14175,0.34194,-0.06144,0.44226,-0.41375,3.04812,-0.04238,F
0.09887,0.07627,0.01977,0.0791,0.01695,0.03107,0.06497,0.0791,0.03955,0.05367,0.10452,0.01695,0.03672,0.0339,0.05085,0.05367,0.04237,0.00847,0.0226,0.07062,0.89446,-0.85799,0.44609,0.04621,-0.12059,0.47955,1.80732,-0.05531,0.39944,1.11362,-0.02881,0.03107,-0.06893,1.27065,-0.12034,0.16723,-0.11215,12.91119,2.61093,0.69011,-1.76975,-1.22544,-0.54412,-13.52067,-9.26177,0.00189,-1.07212,12.53636,7.86418,2.67785,6.07458,-1.60082,0.50376,-2.39263,-1.43655,-3.61008,0.54548,2.13133,-0.27441,1.2059,-0.06359,-0.45186,-0.23508,0.07619,-0.21636,9.37853,7.41328,16.67867,17.05189,1.28025,0.58379,0.77003,1.22562,0.80319,0.74201,0.90195,-0.24729,0.13017,0.04096,0.20212,0.51111,-0.1113,1.45141,-0.79477,C
0.05687,0.03633,0.04423,0.05371,0.00948,0.04581,0.07109,0.06003,0.01422,0.08373,0.08373,0.09321,0.03002,0.04265,0.05055,0.05687,0.06319,0.01106,0.05055,0.04265,0.96826,-0.92082,0.58373,0.03872,-0.15288,0.52229,1.93291,-0.13058,0.36395,1.28638,0.03938,0.06288,-0.20363,1.37591,-0.41817,0.20664,-0.0703,12.7954,2.53404,0.72575,-1.731,-1.20333,-0.52747,-13.76989,-9.48177,-0.05458,-2.00551,12.37594,7.67564,2.63204,6.9722,-1.59741,0.56953,-2.6828,-1.7107,-4.24983,0.56919,2.27227,-0.14096,1.31934,-0.01948,-1.19935,-0.20603,0.11818,-0.23234,9.62449,7.58626,17.35362,17.7452,1.38259,0.46062,0.84021,1.02092,0.76017,1.1488,0.91185,-0.49929,0.07712,0.13194,0.11193,0.52368,-0.21169,1.66682,-0.4534,F
0.05328,0.04508,0.03689,0.04098,0.0123,0.06967,0.08607,0.08197,0.02049,0.03689,0.11066,0.05738,0.0123,0.05738,0.03279,0.07377,0.04918,0.0123,0.05328,0.05738,0.87861,-0.89143,0.64296,-0.02266,-0.14824,0.4848,1.83467,-0.15582,0.36627,1.17475,0.02037,-0.0123,-0.16434,1.24836,-0.43074,0.17709,-0.12172,12.79844,2.53463,0.73197,-1.73968,-1.20814,-0.53132,-13.83371,-9.49917,-0.14303,-1.43939,12.3816,7.70287,2.64377,6.54631,-1.67016,0.5268,-2.66832,-1.85533,-4.40127,0.52008,2.33533,-0.10316,1.20619,-0.02758,-1.42775,-0.22475,0.13594,-0.21824,9.28975,7.56803,17.19348,17.56578,1.26512,0.46689,0.88652,1.25258,0.59602,0.87262,0.91955,-0.49992,0.06906,0.11172,0.11205,0.51543,-0.20082,1.56434,-0.50914,F
0.04,0.02,0.04,0.14,0,0.16,0.02,0.06,0.02,0.06,0.04,0.04,0.1,0.04,0,0.08,0.12,0,0,0.02,0.6046,-0.631,0.5383,-0.2812,-0.233,0.3476,1.7238,-0.2234,0.1984,0.824,0.0708,0.206,-0.2,0.8592,-0.862,-0.0546,0.126,12.4424,2.434,0.518,-1.71668,-1.21402,-0.50244,-13.22978,-9.31832,-0.2202,-1.1758,12.1554,7.5006,2.614,7.56,-2.6472,0.4568,-2.651,-1.8832,-4.222,0.228,3.4222,0.172,0.7996,-0.2546,-0.073,-0.227,0.103,-0.1958,9.26,7.754,17.5076,17.9556,0.8948,0.2156,0.54,-0.0616,0.956,0.8364,0.9754,-0.9376,-0.0626,0.3166,-0.1022,0.43102,-0.382,1.804,-0.1826,F
0.05217,0.05217,0.06522,0.07391,0.04348,0.03478,0.06087,0.05217,0.01739,0.03913,0.09565,0.06522,0.0087,0.03913,0.03043,0.06957,0.06087,0.01739,0.05217,0.06957,0.88983,-0.86009,0.7698,0.00448,-0.18483,0.403,1.89687,-0.15696,0.3483,1.17074,0.01609,0.05957,-0.16957,1.26461,-0.45739,0.11235,-0.05043,12.79013,2.51552,0.69435,-1.73763,-1.2063,-0.53117,-13.784,-9.46755,-0.13004,-1.38739,12.422,7.75152,2.65104,7.6587,-1.98561,0.50026,-2.74343,-1.897,-4.36604,0.48087,2.62239,-0.06387,1.19561,-0.05826,-0.01191,-0.16513,0.10478,-0.24917,9.31304,7.47087,17.02474,17.39135,1.263,0.49104,0.78035,1.07657,0.931,1.11352,0.92957,-0.52743,0.011,0.13013,0.07661,0.5032,-0.15435,1.83043,-0.58804,F
